ratio,var,type,eps
6.988302850343687,7508.132183351185,eq,2.0
7.880916961045442,8467.143959943502,eq,2.0
6.14806732798565,6605.39520956634,eq,2.0
7.946899019030801,8538.03413509658,eq,2.0
6.05566839490746,6506.123123337628,eq,2.0
1.0,1074.3856332703058,eq,2.0
38.0925471728178,26192.69466697399,tp,2.0
43.322737993852044,29789.009468498094,tp,2.0
68.28540241332158,46953.50740157068,tp,2.0
44.73946409083977,30763.159974023034,tp,2.0
51.61164707849125,35488.51976355095,tp,2.0
47.90196860108145,32937.71959703501,tp,2.0
54.17448106415925,37250.741852932435,tp,2.0
44.858575888041955,30845.062056369938,tp,2.0
60.03981402276018,41283.78471057574,tp,2.0
34.571004227197264,23771.25777243376,tp,2.0
59.89625679406542,41185.073783176216,tp,2.0
41.18622002668804,28319.925174645366,tp,2.0
44.053956082483275,30291.800002394266,tp,2.0
51.597585726269266,35478.85108207149,tp,2.0
50.88751915969983,34990.60447868731,tp,2.0
42.5519296112424,29258.996379038814,tp,2.0
50.72087270980102,34876.01724565897,tp,2.0
26.59735929199468,18288.52525199844,tp,2.0
46.29062469773295,31829.748563425204,tp,2.0
20.598451345908146,14163.63532394311,tp,2.0
57.07128410222661,39242.60333550098,tp,2.0
42.26304682072358,29060.358606346043,tp,2.0
32.034573202322065,22027.190538573286,tp,2.0
52.80499710321785,36309.07536164952,tp,2.0
31.73967707290085,21824.417953128697,tp,2.0
48.74818649761183,33519.58478145002,tp,2.0
38.684387052596854,26599.64779595385,tp,2.0
40.27876228238635,27695.951054147696,tp,2.0
64.36230585656399,44255.95951132264,tp,2.0
59.5407608632151,40940.63236186957,tp,2.0
52.48588436445885,36089.651270823146,tp,2.0
43.33232360534675,29795.600600194746,tp,2.0
43.24762324909244,29737.360058823546,tp,2.0
43.046557622775225,29599.10596585733,tp,2.0
58.29885367483664,40086.68852759825,tp,2.0
43.24501263502725,29735.564982826323,tp,2.0
45.87605642688253,31544.688599129902,tp,2.0
51.24231209142801,35234.562513013465,tp,2.0
37.72958901097831,25943.122164856515,tp,2.0
56.84506322383975,39087.05232002281,tp,2.0
35.994375626071765,24749.97763275928,tp,2.0
70.1057068937659,48205.16115002952,tp,2.0
45.93821314877827,31587.427984100115,tp,2.0
39.12682516549651,26903.87125330465,tp,2.0
47.05677047504852,32356.55561375388,tp,2.0
42.97750204888486,29551.6228833069,tp,2.0
63.88623207678064,43928.607940522044,tp,2.0
54.14450291264141,37230.12867193866,tp,2.0
47.06034827158743,32359.01573100199,tp,2.0
88.60803057563757,60927.484827418244,tp,2.0
50.59932350484044,34792.43918515013,tp,2.0
38.38142756239056,26391.330788759908,tp,2.0
48.93243583806053,33646.27588181329,tp,2.0
39.01405172830363,26826.32747043454,tp,2.0
49.954005175542996,34348.71391034489,tp,2.0
51.13695380139866,35162.11743579525,tp,2.0
46.013151642331984,31638.956202246056,tp,2.0
43.484508898274655,29900.244243277484,tp,2.0
81.6658891056644,56154.02110935797,tp,2.0
60.847490315357994,41839.14842583981,tp,2.0
51.768616667336374,35596.4531210649,tp,2.0
54.28758938633035,37328.51590499256,tp,2.0
31.02673481059776,21334.194001788106,tp,2.0
22.74094191807499,15636.826421641115,tp,2.0
62.46666631097553,42952.50485939349,tp,2.0
54.61843513290884,37556.00769184217,tp,2.0
43.924138225273374,30202.53636032818,tp,2.0
55.21309188075524,37964.89771847476,tp,2.0
41.82059743080459,28756.127394840012,tp,2.0
47.75099452690323,32833.90879620725,tp,2.0
53.70978405071669,36931.21302409,tp,2.0
62.90588650239953,43254.515652038725,tp,2.0
58.982444344945655,40556.730124400005,tp,2.0
